word_id,word,pinyin,video_url,sort_order,category
00000103_0,抱歉,bàoqiàn,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00000103.mp4,0,communicate
00004670_0,不喜欢,bù xĭhuān,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00004670.mp4,1,communicate
00000053_0,不行①,bùxíng,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00000053.mp4,2,communicate
00004672,不一定①,bùyīdìng,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00004672.mp4,3,communicate
00000061_0,不知道①,bù zhīdào,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00000061.mp4,4,communicate
00000313_0,差不多,chà·buduō,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00000313.mp4,5,communicate
00001018,来不及,lái·bují,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00001018.mp4,6,communicate
00001425,来得及,lái dé jí,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00001425.mp4,7,communicate
00000371,没关系①,méi guān xì ,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00000371.mp4,8,communicate
00000031,没有①,méiyŏu,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00000031.mp4,9,communicate
00000089,为什么,wéishén·me,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00000089.mp4,10,communicate
00000096_1,谢谢,xièxie,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00000096.mp4,11,communicate
00000033_4,怎么样,zĕn·meyàng,https://ai-avatar-static.vivo.com.cn/ai-avatar/sign_language_word_00000033.mp4,12,communicate
'00000115,爱,ài,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000115.mp4,0,common
'00000529,爱情,àiqíng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000529.mp4,1,common
00000289_0,爱人,ài·ren,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000289.mp4,2,common
'00001737,安,ān,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001737.mp4,3,common
'00001896,安全带①,ānquándài,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001896.mp4,4,common
'00001897,安全带②,ānquándài,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001897.mp4,5,common
00001247_1,傲慢②,àomàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001247.mp4,6,common
00000517_1,八,bā,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000517.mp4,7,common
00006867_2,八月,bāyuè,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00006867.mp4,8,common
'00000055,把,bǎ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000055.mp4,9,common
00000194_1,爸爸,bà·bɑ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000194.mp4,10,common
'00001013,白,bái,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001013.mp4,11,common
00000526_1,拜年,bàinián,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000526.mp4,12,common
'00003472,拜师,bàishī,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00003472.mp4,13,common
00000535_0,班②,bān,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000535.mp4,14,common
00001705_1,颁奖②,bānjiǎng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001705.mp4,15,common
00004535_0,斑马线,bānmǎxiàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00004535.mp4,16,common
00000536_0,搬,bān,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000536.mp4,17,common
00000197_0,办法,bànfǎ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000197.mp4,18,common
